"","CountryName","CountryCode","Year","SE.ADT.1524.LT.ZS","SE.ADT.LITR.ZS"
"52","Egypt, Arab Rep.","EGY",2010,87.50964,72.04785
"53","Egypt, Arab Rep.","EGY",2012,89.28192,73.86559
"54","Egypt, Arab Rep.","EGY",2013,92.02341,75.06073
"55","El Salvador","SLV",2010,96.03445,84.49272
"56","El Salvador","SLV",2011,96.54509,85.49399
"57","El Salvador","SLV",2013,97.2242,86.76758
"58","Equatorial Guinea","GNQ",2013,98.16616,94.77357
"59","Eritrea","ERI",2013,91.77686,71.5981
"60","Estonia","EST",2011,99.9489,99.86278
"61","Gabon","GAB",2012,88.50414,82.2838
"62","Gambia, The","GMB",2013,70.72155,53.18639
"63","Georgia","GEO",2013,99.79767,99.74645
"64","Ghana","GHA",2010,85.71615,71.49708
"65","Greece","GRC",2013,99.40249,97.47356
"66","Guatemala","GTM",2012,93.65347,78.26485
"67","Guatemala","GTM",2013,91.85191,77.03867
"68","Guinea","GIN",2010,31.40642,25.30774
"69","Guinea-Bissau","GNB",2013,75.3038,57.80157
"70","Honduras","HND",2010,95.15069,84.75536
"71","Honduras","HND",2011,95.925,85.12331
"72","Honduras","HND",2012,94.98096,85.35555
"73","Honduras","HND",2013,95.06649,85.46442
"74","Honduras","HND",2014,95.67707,87.19753
"75","Hungary","HUN",2013,98.86704,99.04829
"76","India","IND",2011,86.14488,69.30256
"77","Indonesia","IDN",2011,98.778,92.8119
"78","Iran, Islamic Rep.","IRN",2012,98.0144,83.62599
"79","Iraq","IRQ",2013,81.95003,79.25373
"80","Italy","ITA",2013,99.92351,99.07052
"81","Jamaica","JAM",2013,96.09719,87.90327
"82","Jordan","JOR",2010,98.76235,92.55104
"83","Jordan","JOR",2011,99.14868,95.90445
"84","Jordan","JOR",2012,99.10572,97.89032
"85","Kuwait","KWT",2012,98.78226,95.51318
"86","Kuwait","KWT",2013,99.15375,95.58582
"87","Latvia","LVA",2011,99.83543,99.8959
"88","Libya","LBY",2013,99.92936,90.25813
"89","Lithuania","LTU",2011,99.8558,99.8156
"90","Macao SAR, China","MAC",2011,99.6729,95.64004
"91","Macedonia, FYR","MKD",2013,98.63583,97.63467
"92","Malawi","MWI",2010,72.13956,61.30972
"93","Malaysia","MYS",2010,98.41872,93.11788
"94","Mali","MLI",2010,44.30171,31.09975
"95","Mali","MLI",2011,47.13698,33.56094
"96","Malta","MLT",2011,98.88194,93.30736
"97","Mauritius","MUS",2011,98.13036,89.24983
"98","Mexico","MEX",2010,98.43452,93.06894
"99","Mexico","MEX",2011,98.46177,93.51998
"100","Mexico","MEX",2012,98.87541,94.2284
"101","Mexico","MEX",2013,98.5645,93.96284
"102","Moldova","MDA",2013,100,99.16706
"103","Mongolia","MNG",2010,98.46024,98.257
"104","Montenegro","MNE",2011,99.21182,98.44221
"105","Morocco","MAR",2011,81.51007,67.08416
"106","Myanmar","MMR",2013,96.12909,92.78524
"107","Nepal","NPL",2011,84.75715,59.62725
"108","New Caledonia","NCL",2013,99.65753,96.67169
"109","Niger","NER",2012,23.52378,15.4567
"110","Oman","OMN",2010,97.74373,86.939
"111","Oman","OMN",2014,99.09432,91.9812
"112","Pakistan","PAK",2010,71.25962,55.37519
"113","Pakistan","PAK",2011,70.76933,54.73802
"114","Pakistan","PAK",2012,72.58341,56.76434
"115","Palau","PLW",2013,99.81147,99.52396
"116","Panama","PAN",2010,97.63853,94.09412
"117","Papua New Guinea","PNG",2013,71.58472,63.33775
"118","Paraguay","PRY",2010,98.61045,93.87092
"119","Paraguay","PRY",2014,98.68621,94.61672
"120","Peru","PER",2012,98.69817,93.84173
"121","Poland","POL",2013,99.99997,99.76249
"122","Portugal","PRT",2011,99.43512,94.47705
"123","Puerto Rico","PRI",2010,98.83418,91.96523
"124","Qatar","QAT",2010,96.82016,96.28374
"125","Qatar","QAT",2011,97.87751,96.40687
"126","Qatar","QAT",2012,99.06458,96.6786
"127","Qatar","QAT",2013,98.96033,97.47785
"128","Qatar","QAT",2014,98.71272,97.74669
"129","Romania","ROM",2011,98.99569,98.60429
"130","Russian Federation","RUS",2010,99.7096,99.68427
"131","Rwanda","RWA",2010,77.34463,65.85227
"132","Rwanda","RWA",2012,82.33075,68.33103
"133","Samoa","WSM",2011,99.23566,98.97326
"134","Saudi Arabia","SAU",2013,99.22177,94.42635
"135","Senegal","SEN",2011,66.03274,52.05196
"136","Senegal","SEN",2013,55.89594,42.8175
"137","Serbia","SRB",2011,99.30869,97.96241
"138","Seychelles","SYC",2010,98.97134,93.95423
"139","Sierra Leone","SLE",2013,64.30069,45.65007
"140","Singapore","SGP",2010,99.75182,95.85733
"141","Singapore","SGP",2011,99.82384,96.17616
"142","Singapore","SGP",2012,99.84586,96.36598
"143","Singapore","SGP",2013,99.88415,96.54015
"144","Slovenia","SVN",2013,99.85601,99.70596
"145","South Africa","ZAF",2010,98.64413,92.87732
"146","South Africa","ZAF",2011,98.78966,93.10214
"147","South Africa","ZAF",2012,98.88204,93.72947
"148","Spain","ESP",2010,99.59464,97.74889
"149","Spain","ESP",2011,99.69939,97.78375
"150","Spain","ESP",2012,99.67278,97.89454
"151","Spain","ESP",2013,99.66926,98.07912
"152","Sri Lanka","LKA",2010,98.15793,91.18136
"153","Sudan","SDN",2013,88.48841,74.27256
"154","Suriname","SUR",2010,98.37664,94.67575
"155","Swaziland","SWZ",2010,93.5023,83.09829
"156","Syrian Arab Republic","SYR",2013,95.85722,85.53371
"157","Tajikistan","TJK",2013,99.87181,99.75018
"158","Tanzania","TZA",2010,74.56052,67.8007
"159","Tanzania","TZA",2012,85.94,78.98261
"160","Thailand","THA",2010,96.59757,96.43092
"161","Timor-Leste","TMP",2010,79.52869,58.30898
"162","Togo","TGO",2011,79.88591,60.40995
"163","Tonga","TON",2011,99.43703,99.38554
"164","Trinidad and Tobago","TTO",2013,99.58959,98.86449
"165","Tunisia","TUN",2010,97.17172,79.13058
"166","Tunisia","TUN",2011,97.30444,79.65391
"167","Turkey","TUR",2010,98.22459,92.6606
"168","Turkey","TUR",2011,98.70935,94.10609
"169","Turkey","TUR",2012,99.01602,94.91975
"170","Turkey","TUR",2013,99.22743,95.25665
"171","Turkmenistan","TKM",2013,99.8339,99.65206
"172","Uganda","UGA",2010,87.40883,73.21188
"173","Uganda","UGA",2012,83.65888,70.19822
"174","Ukraine","UKR",2013,99.76919,99.7424
"175","Uruguay","URY",2010,98.78419,98.07271
"176","Uruguay","URY",2011,98.86222,98.3359
"177","Uruguay","URY",2012,98.95525,98.39594
"178","Uruguay","URY",2013,98.92976,98.36387
"179","Uzbekistan","UZB",2013,99.94442,99.51878
"180","Vanuatu","VUT",2013,95.19148,84.00947
"181","Venezuela, RB","VEN",2011,97.55916,94.77023
"182","Yemen, Rep.","YEM",2013,88.40951,67.64868
"183","Zimbabwe","ZWE",2011,90.9307,83.58272
