"","X1","CountryName","finalscore_child","finalrank_comm","finalrank_diversity","finalrank_edu","finalrank_emission","finalrank_empl","finalrank_eng","finalrank_env","finalrank_deficit","finalrank_gen","finalrank_GDP","finalrank_pop","finalscore_security","finalrank_tourism","finalrank_hpi","finalrank_neg","finalrank_pos","ourindex","finalindex","region","sub.region"
"163",163,"United Kingdom",18,19,109,61.1666666666667,159,39,101.5,90,61.1666666666667,46,42.5,61,15,19,17.5,58,123,61.1666666666667,27,"Europe","Western Europe"
"164",164,"United States of America",34,74,54.15,54.15,54.15,54.15,87,79,54.15,95,27,12,55,59,19.5,54.15,54.15,54.15,17,"Americas","Northern America"
"165",165,"Uruguay",55,41,125,36,90,60,16,185,16,115,63.5,13.5,80,26,34,84,116,68,40,"Americas","South America"
"166",166,"Uzbekistan",94,132,87,9,115,90.7666666666667,135,184,25,116,90.7666666666667,182,51,86,40.5,3,102,90.7666666666667,120,"Asia","Central Asia"
"167",167,"Vanuatu",78,170.5,92.5,84,43,92.5,180.5,156,30,190.5,92.5,36,42,68,31.5,92.5,92.5,92.5,123,"Oceania","Melanesia"
"168",168,"Venezuela",64,107,88,66.5,78.1333333333333,78.1333333333333,91,8,7,106,105,127,121,82,19.5,54,126,78.1333333333333,77,"Americas","South America"
"169",169,"Vietnam",45,63.5,122,70.2666666666667,86,103,44.5,110.5,53,66,95,97,28,70.2666666666667,58.5,41,41,70.2666666666667,50,"Asia","South-Eastern Asia"
"170",170,"Yemen",129,160,150,98.5,131.607142857143,131.607142857143,183,194,75,190.5,153,183.5,78,131.607142857143,125,115,8,131.607142857143,172,"Asia","Western Asia"
"171",171,"Zambia",132,162.5,35,83.1,23,111,17,2,93,139,110,101,70,83.1,85,86,80,83.1,94,"Africa","Eastern Africa"
"172",172,"Zimbabwe",111,145,101,86,49,104,30,32.5,84,35,120,196.5,79,88,77.5,45,73,85.6764705882353,104,"Africa","Eastern Africa"
