"","X1","CountryName","finalscore_child","finalrank_comm","finalrank_diversity","finalrank_edu","finalrank_emission","finalrank_empl","finalrank_eng","finalrank_env","finalrank_deficit","finalrank_gen","finalrank_GDP","finalrank_pop","finalscore_security","finalrank_tourism","finalrank_hpi","finalrank_neg","finalrank_pos","ourindex","finalindex","region","sub.region"
"26",26,"Cabo Verde",75,124,100.409090909091,75,53,100.409090909091,132.5,186,40,81.5,102,135.5,100,100.409090909091,100.409090909091,100.409090909091,100.409090909091,100.409090909091,148,"Africa","Western Africa"
"27",27,"Cambodia",56,131,131,81.1333333333333,31,102,38,15.5,59,88,97.5,81,31,85,129,142,81.1333333333333,81.1333333333333,88,"Asia","South-Eastern Asia"
"28",28,"Cameroon",101,176.5,6,102,30,112,21.5,80,37,39,100,150,44,78.40625,120.5,97,38,78.40625,79,"Africa","Middle Africa"
"29",29,"Canada",25,88,60,58.7333333333333,188,12,56.5,115,58.7333333333333,61,6,5,22,18,8.5,73,143,58.7333333333333,23,"Americas","Northern America"
"30",30,"Caribbean small states",66,100,88.5,77,175,88.5,130.5,41.5,33,99.5,57,76,118,88.5,88.5,88.5,88.5,88.5,113.5,"Americas","South America"
"31",31,"Central African Republic",134,200.5,20,119,5,100.533333333333,123.5,57,91,140.5,154,116.5,105,99,100.533333333333,134,9,100.533333333333,149,"Africa","Middle Africa"
"32",32,"Chad",132,199,23,116.5,2,98.84375,118.5,128,89,121,126,88,92,100,120.5,116,10,98.84375,142,"Africa","Middle Africa"
"33",33,"Chile",28,47.5,83,33,125,65,54.5,110.5,16,118,34.5,11,52,61,26,121,118,64.9411764705882,33,"Americas","South America"
"34",34,"China",46,125,138,36,148,25,79.5,99.5,49,71,13,83,12,78,77.5,4,119,70.7941176470588,53,"Asia","Eastern Asia"
"35",35,"Colombia",74,106,47,68,81,91,61,26,47,92,46.5,70.5,111,74,37,103,128,74.2941176470588,63,"Americas","South America"
"36",36,"Comoros",118,186,112.375,91.5,24,112.375,114,158,112.375,181.5,112.375,201,82,112.375,120.5,19,53,112.375,165,"Africa","Eastern Africa"
"37",37,"Costa Rica",45,92,121,40,82,53,23.5,25,27,31,61.65625,63,82,62,13,81,146,61.65625,28,"Americas","Central America"
"38",38,"Cote d'Ivoire",127,154.5,101.923076923077,116.5,32,115,18,59.5,55,160,90,166.5,102,101.923076923077,129,101.923076923077,101.923076923077,101.923076923077,151,"Africa","Western Africa"
"39",39,"Croatia",37,62,99,18,130,39,67,101.5,57.5625,58,74.5,17,19,25,45,100,29,57.5625,21,"Europe","Southern Europe"
"40",40,"Cuba",32,174,126,5,109,52,71.5,121,4,3,89,87,73.6333333333333,95,73.6333333333333,92,44,73.6333333333333,61,"Americas","Caribbean"
"41",41,"Cyprus",24,90.5,103,19,156,45,108,99.5,74.96875,140.5,83,33,17,20,37,135,89,74.96875,65,"Asia","Western Asia"
"42",42,"Czech Republic",9,32,110,57.2,179,46,79.5,52,57.2,90,20,26,14,35,31.5,71,63,57.2,20,"Europe","Eastern Europe"
"43",43,"Democratic Republic of Congo",131,198,3,96.5,97.2,97.2,15,41.5,97.2,161,127,95,104,97.2,97.2,97.2,97.2,97.2,135,"Africa","Middle Africa"
"44",44,"Denmark",5,16,144,48.2,164,13,53,82.5,48.2,20,31,25,8,14,6.5,28,113,48.2,10,"Europe","Northern Europe"
"45",45,"Djibouti",117,189,57,112.681818181818,45,112.681818181818,135,204,66,137,112.681818181818,96,78,112.681818181818,115.5,112.681818181818,112.681818181818,112.681818181818,166,"Africa","Eastern Africa"
"46",46,"Dominican Republic",96,121,98,74,93,85,92,50.5,56,83,42.5,123.5,115,91,103,105,97,89.7352941176471,118,"Americas","Caribbean"
